Activity,Locality,Participated in the last 12 months,Weekly Participation (multiple),Weekly Participation (once),Monthly Participation (multiple),Monthly Participation (once)
Adult education courses,Local,18215,3987,1864,1241,1638
Aquarium attendance,Remote,12760,147,118,190,337
Attend a circus,Remote,6826,65,104,12,124
Attend a state or county fair,Remote,30829,222,678,398,679
Attend art galleries or shows,Remote,17772,92,203,553,2148
Attend auto shows ,Remote,14092,127,153,308,1120
Attend classical music/opera performances,Remote,9536,101,247,397,951
Attend country music performances ,Remote,15399,92,67,228,470
Attend dance performances ,Remote,10399,64,34,325,362
Attend horse races,Remote,5363,74,56,207,83
"Attend other music performances (not country, rock, or classical)",Remote,27984,130,618,1170,2275
Attend rock music performances ,Remote,22920,96,170,394,1382
Baking ,Local,53277,7195,6609,11100,8539
Barbecuing ,Local,63911,7116,9030,13262,9488
Billiards/pool ,Local,14999,462,928,737,1966
Bird watching ,Local,10294,4192,782,558,810
Board games ,Local,38614,2054,4141,6701,7198
Book clubs,Local,6796,250,352,543,2479
Chess,Local,8518,705,512,1040,722
Concerts on radio,Local,5422,692,593,450,331
Cooking for fun ,Local,46279,17053,7094,6184,3947
Crossword puzzles ,Local,22329,8877,1995,2263,1525
Dance/go dancing ,Remote,18157,2055,1417,1688,1864
Dining out ,Remote,125222,23323,26763,29555,16278
Entertain friends or relatives at home ,Local,75503,5990,9249,14194,15939
Fantasy sports league,Local,11143,2318,2124,374,676
Film/produce videos,Local,3607,503,459,302,282
Fly a drone,Local,6535,303,257,658,440
Furniture refinishing ,Local,8847,282,232,282,814
Genealogy,Local,9680,1056,628,719,1119
Go to bars/night clubs ,Remote,41204,2312,3459,6635,6270
Go to beach ,Remote,68887,2994,2521,4834,6446
Go to live theater ,Remote,28086,278,500,1219,2932
Go to museums ,Remote,35790,400,533,1182,3886
Home decoration and furnishing,Local,23579,1408,1103,2152,4232
Karaoke,Remote,9358,451,700,628,547
"Painting, drawing ",Local,17338,2879,1905,1584,2205
PC/computer games (play offline with software),Local,17164,9116,1263,1022,628
PC/computer games (play online),Local,27940,16914,1971,1771,790
Photo Album/Scrap book,Local,10075,727,856,917,1126
Photography ,Local,20798,5133,3129,3102,2350
Picnic ,Remote,20941,487,497,1264,2231
Play bingo ,Remote,11065,968,979,622,644
Play cards ,Local,39552,3914,3821,5474,5998
Play musical instrument ,Local,16580,6036,2057,1390,1375
Reading books ,Local,76932,40948,7173,6596,5088
Reading comic books,Local,7208,1946,645,518,805
Sudoku puzzles,Local,20564,7220,1988,1962,1791
Tailgating,Remote,9492,206,101,282,616
Trivia games ,Local,15017,3693,1587,1360,1572
Video/electronic games (console),Local,22042,9678,2118,2063,950
Video/electronic games (portable),Local,10435,4944,627,727,535
Woodworking ,Local,10970,1728,812,1505,1679
Word games ,Local,23627,10936,2367,1846,1273
Zoo attendance ,Remote,28162,231,100,535,1831
